age race earnwke senior married union female hogwarts hhouse
1218 41 Pureblood 46.15 Senior Single Non-Union Female Graduated Ravenclaw
1219 63 Pureblood 625 Junior Married Non-Union Male Graduated Ravenclaw
1220 61 Pureblood 581.75 Senior Married Non-Union Female Graduated Ravenclaw
1221 40 Pureblood 1153.84 Senior Married Non-Union Male Graduated Ravenclaw
1222 46 Pureblood 640 Senior Married Non-Union Female Graduated Ravenclaw
1223 37 Pureblood 2007.69 Senior Married Non-Union Male Graduated Ravenclaw
1224 59 Halfblood 1115.38 Senior Single Non-Union Female Graduated Ravenclaw
1225 38 Muggle-Born 1730.76 Senior Married Non-Union Male Graduated Ravenclaw
1226 59 Pureblood 1432 Senior Married Non-Union Female Graduated Ravenclaw
1227 51 Pureblood 1165.2 Senior Single Non-Union Male Graduated Ravenclaw
1228 59 Pureblood 581.75 Senior Single Non-Union Female Graduated Ravenclaw
1229 31 Pureblood 807.69 Senior Married Non-Union Female Graduated Ravenclaw
1230 46 Pureblood 1057.69 Senior Single Non-Union Female Graduated Ravenclaw
1231 43 Muggle-Born 804 Senior Single Non-Union Female Drop-Out Ravenclaw
1232 55 Pureblood 1057.69 Senior Married Non-Union Male Graduated Ravenclaw
1233 57 Muggle-Born 1538.46 Senior Married Non-Union Male Graduated Ravenclaw
1234 56 Muggle-Born 865.38 Senior Married Non-Union Female Drop-Out Ravenclaw
1235 26 Muggle-Born 1153.84 Senior Single Non-Union Female Graduated Ravenclaw
1236 25 Pureblood 826 Junior Single Non-Union Male Drop-Out Ravenclaw
1237 58 Pureblood 1307 Senior Single Non-Union Female Graduated Ravenclaw
1238 54 Halfblood 1538 Senior Married Non-Union Male Graduated Ravenclaw
1239 35 Halfblood 961.53 Senior Single Union Male Drop-Out Ravenclaw
1240 62 Muggle-Born 1500 Senior Married Non-Union Female Graduated Ravenclaw
1241 26 Pureblood 1153 Junior Single Non-Union Male Graduated Ravenclaw
1242 26 Pureblood 1147.2 Junior Single Union Male Graduated Ravenclaw
1243 41 Pureblood 2884.61 Senior Married Non-Union Male Graduated Ravenclaw
1244 54 Pureblood 673.07 Senior Married Non-Union Female Drop-Out Ravenclaw
1245 59 Pureblood 720 Senior Married Non-Union Female Drop-Out Ravenclaw
1246 42 Pureblood 1634.61 Senior Married Non-Union Female Graduated Ravenclaw
1247 18 Muggle-Born 160 Senior Single Non-Union Female Graduated Ravenclaw
1248 52 Pureblood 2884.61 Senior Married Non-Union Male Graduated Ravenclaw
1249 51 Pureblood 480.76 Senior Married Non-Union Female Graduated Ravenclaw
1250 35 Pureblood 1396 Senior Married Non-Union Male Graduated Ravenclaw
1251 33 Pureblood 480 Junior Single Non-Union Female Drop-Out Ravenclaw
1252 49 Pureblood 788.46 Senior Married Non-Union Male Drop-Out Ravenclaw
1253 44 Pureblood 230.76 Senior Married Non-Union Female Drop-Out Ravenclaw
1254 49 Pureblood 1923.07 Senior Married Non-Union Male Graduated Ravenclaw
1255 31 Pureblood 692.3 Junior Married Non-Union Male Graduated Ravenclaw
1256 36 Pureblood 1100 Senior Married Non-Union Female Graduated Ravenclaw
1257 51 Pureblood 2884.61 Senior Married Non-Union Male Graduated Ravenclaw
1258 53 Pureblood 253.84 Senior Married Non-Union Female Graduated Ravenclaw
1259 39 Pureblood 1250 Senior Married Non-Union Male Graduated Ravenclaw
1260 42 Pureblood 420 Senior Married Union Male Graduated Ravenclaw
1261 43 Pureblood 320 Senior Married Non-Union Female Graduated Ravenclaw
1262 34 Pureblood 692.3 Senior Married Non-Union Male Graduated Gryffindor
1263 55 Pureblood 1711.53 Senior Married Non-Union Male Graduated Gryffindor
1264 55 Pureblood 440 Junior Married Union Female Drop-Out Gryffindor
1265 32 Halfblood 992.01 Senior Single Union Female Graduated Gryffindor
1266 29 Pureblood 712 Senior Single Non-Union Male Drop-Out Gryffindor
1267 59 Pureblood 500 Senior Married Non-Union Female Graduated Gryffindor
1268 55 Pureblood 2402.4 Senior Single Non-Union Male Drop-Out Gryffindor
1269 38 Pureblood 923.07 Senior Married Non-Union Male Graduated Gryffindor
1270 34 Pureblood 1000 Junior Married Non-Union Female Graduated Gryffindor
1271 37 Pureblood 2042 Senior Married Non-Union Male Graduated Gryffindor
1272 36 Pureblood 500 Senior Single Non-Union Male Graduated Gryffindor
1273 39 Pureblood 673.07 Senior Single Non-Union Female Drop-Out Gryffindor
1274 50 Pureblood 1000 Senior Married Non-Union Female Graduated Slytherin
1275 32 Pureblood 2769 Senior Married Non-Union Male Graduated Gryffindor
1276 31 Pureblood 1115 Senior Married Non-Union Female Graduated Gryffindor
1277 33 Halfblood 634.61 Senior Married Union Male Graduated Slytherin
1278 33 Halfblood 826.92 Senior Married Union Female Graduated Slytherin
1279 42 Pureblood 1730 Senior Married Non-Union Female Graduated Ravenclaw
1280 53 Pureblood 630 Senior Married Non-Union Male Drop-Out Gryffindor
1281 53 Pureblood 408 Junior Married Non-Union Female Drop-Out Gryffindor
1282 59 Pureblood 673.07 Senior Single Non-Union Female Drop-Out Slytherin
1283 43 Pureblood 1346.15 Senior Single Non-Union Female Graduated Ravenclaw
1284 40 Pureblood 508.75 Senior Married Union Female Graduated Gryffindor
1285 36 Pureblood 521.5 Senior Single Non-Union Female Graduated Hufflepuff
1286 48 Pureblood 382.5 Senior Married Non-Union Female Drop-Out Hufflepuff
1287 55 Pureblood 341.25 Junior Single Non-Union Male Graduated Hufflepuff
1288 45 Pureblood 884.61 Senior Married Non-Union Male Graduated Hufflepuff
1289 45 Pureblood 903.84 Senior Married Non-Union Female Graduated Hufflepuff
1290 44 Pureblood 1403.84 Senior Single Non-Union Male Graduated Hufflepuff
1291 44 Pureblood 900 Senior Married Non-Union Male Drop-Out Hufflepuff
1292 41 Pureblood 653.84 Senior Married Non-Union Female Graduated Hufflepuff
1293 60 Pureblood 442.3 Senior Single Union Female Graduated Hufflepuff
1294 60 Pureblood 940 Senior Married Non-Union Male Graduated Gryffindor
1295 28 Pureblood 788.46 Senior Married Union Male Graduated Slytherin
1296 27 Pureblood 1403.84 Senior Married Non-Union Female Graduated Slytherin
1297 38 Pureblood 384 Senior Married Union Male Graduated Hufflepuff
1298 40 Pureblood 692 Senior Married Non-Union Female Drop-Out Hufflepuff
1299 48 Halfblood 260 Senior Single Non-Union Female Graduated Slytherin
1300 31 Pureblood 600 Senior Single Non-Union Female Graduated Ravenclaw
1301 57 Pureblood 480 Senior Married Non-Union Female Drop-Out Slytherin
1302 49 Pureblood 590.76 Senior Single Non-Union Female Drop-Out Slytherin
1303 39 Pureblood 250 Junior Married Non-Union Male Drop-Out Slytherin
1304 41 Pureblood 1040 Junior Married Non-Union Female Graduated Slytherin
1305 48 Pureblood 1120 Senior Married Non-Union Male Graduated Slytherin
1306 49 Pureblood 1384.61 Senior Single Non-Union Male Graduated Gryffindor
1307 19 Pureblood 162 Senior Single Non-Union Male Drop-Out Ravenclaw
1308 19 Pureblood 275 Senior Single Non-Union Male Drop-Out Ravenclaw
1309 33 Pureblood 1211.53 Senior Married Non-Union Male Graduated Ravenclaw
1310 31 Pureblood 272.7 Senior Married Non-Union Female Graduated Ravenclaw
1311 55 Halfblood 1038.46 Senior Married Union Female Graduated Gryffindor
1312 44 Pureblood 810 Senior Married Union Female Graduated Ravenclaw
1313 50 Pureblood 320 Senior Single Non-Union Female Graduated Ravenclaw
1314 46 Pureblood 800 Senior Married Non-Union Male Graduated Ravenclaw
1315 62 Pureblood 1692 Junior Married Union Male Graduated Gryffindor
1316 60 Pureblood 240 Junior Married Non-Union Female Graduated Gryffindor
1317 44 Pureblood 1200 Senior Married Non-Union Male Drop-Out Slytherin
1318 22 Pureblood 1000 Senior Single Non-Union Male Graduated Slytherin
1319 56 Pureblood 496 Senior Married Non-Union Male Graduated Slytherin
1320 19 Pureblood 404 Senior Single Non-Union Male Drop-Out Slytherin
1321 53 Pureblood 616 Senior Married Non-Union Female Graduated Slytherin
1322 51 Pureblood 1442.3 Senior Single Union Male Graduated Slytherin
1323 32 Pureblood 1880 Junior Married Non-Union Male Graduated Slytherin
1324 30 Pureblood 2519.23 Senior Married Non-Union Female Graduated Slytherin
1325 39 Halfblood 560 Senior Married Union Male Drop-Out Slytherin
1326 41 Halfblood 961.53 Senior Married Non-Union Male Drop-Out Slytherin
1327 33 Halfblood 846.15 Senior Single Union Male Graduated Slytherin
1328 52 Halfblood 961.53 Senior Single Non-Union Female Graduated Slytherin
1329 34 Halfblood 315 Junior Married Non-Union Male Drop-Out Slytherin
1330 30 Halfblood 300 Junior Married Non-Union Female Graduated Slytherin
1331 26 Halfblood 218.75 Senior Single Non-Union Female Drop-Out Slytherin
1332 50 Pureblood 300 Senior Married Non-Union Male Graduated Slytherin
1333 25 Pureblood 865.38 Senior Single Union Female Graduated Slytherin
1334 35 Pureblood 423 Senior Single Non-Union Male Graduated Slytherin
1335 39 Halfblood 400 Senior Single Non-Union Male Drop-Out Slytherin
1336 29 Halfblood 700 Senior Single Non-Union Female Graduated Slytherin
1337 53 Pureblood 903.84 Senior Married Non-Union Female Graduated Slytherin
1338 62 Halfblood 200 Senior Single Union Female Graduated Slytherin
1339 46 Pureblood 265 Senior Single Non-Union Female Graduated Slytherin
1340 49 Halfblood 480 Senior Single Non-Union Female Drop-Out Slytherin
1341 39 Pureblood 480.76 Junior Married Non-Union Female Graduated Slytherin
1342 39 Pureblood 1160 Senior Single Non-Union Female Graduated Slytherin
1343 59 Pureblood 923.07 Senior Single Non-Union Female Drop-Out Slytherin
1344 25 Pureblood 750 Senior Single Non-Union Male Drop-Out Slytherin
1345 53 Pureblood 1100 Senior Married Non-Union Male Graduated Slytherin
1346 53 Pureblood 1153 Senior Married Non-Union Female Graduated Slytherin
1347 22 Pureblood 144 Junior Single Non-Union Female Graduated Slytherin
1348 20 Pureblood 200 Senior Single Non-Union Female Graduated Slytherin
1349 53 Pureblood 268.4 Senior Married Non-Union Female Graduated Slytherin
1350 62 Pureblood 740 Senior Married Non-Union Male Graduated Slytherin
1351 51 Pureblood 450.8 Senior Married Non-Union Female Graduated Slytherin
1352 36 Pureblood 342.8 Senior Married Non-Union Male Drop-Out Slytherin
1353 34 Pureblood 2884.61 Senior Married Non-Union Female Graduated Slytherin
1354 21 Pureblood 380 Senior Single Non-Union Male Graduated Slytherin
1355 35 Pureblood 1100 Senior Single Non-Union Male Graduated Slytherin
1356 55 Pureblood 1442.3 Senior Married Non-Union Male Graduated Slytherin
1357 53 Pureblood 1057.69 Senior Married Non-Union Female Graduated Slytherin
1358 62 Pureblood 921.15 Senior Single Union Male Graduated Slytherin
1359 60 Halfblood 200 Junior Married Non-Union Female Drop-Out Slytherin
1360 22 Pureblood 210 Senior Single Non-Union Male Graduated Slytherin
1361 24 Pureblood 500 Senior Single Non-Union Male Drop-Out Slytherin
1362 42 Pureblood 1000 Senior Married Non-Union Male Graduated Slytherin
1363 40 Pureblood 1360 Senior Married Non-Union Female Graduated Slytherin
1364 24 Pureblood 560 Senior Married Non-Union Female Graduated Slytherin
1365 44 Halfblood 711.53 Senior Single Union Female Graduated Slytherin
1366 60 Pureblood 272 Senior Married Non-Union Female Graduated Slytherin
1367 42 Pureblood 1653.84 Senior Married Non-Union Male Graduated Slytherin
1368 26 Pureblood 903.84 Senior Married Non-Union Male Graduated Slytherin
1369 53 Halfblood 1000 Senior Married Non-Union Male Graduated Slytherin
1370 51 Halfblood 961.53 Senior Married Non-Union Female Graduated Slytherin
1371 35 Muggle-Born 342.8 Senior Married Union Male Graduated Ravenclaw
1372 29 Muggle-Born 875 Senior Married Non-Union Male Graduated Ravenclaw
1373 59 Pureblood 1057.69 Senior Married Union Male Graduated Ravenclaw
1374 30 Muggle-Born 1920.4 Junior Single Union Male Drop-Out Ravenclaw
1375 53 Muggle-Born 1810 Senior Single Union Female Drop-Out Ravenclaw
1376 33 Muggle-Born 200 Senior Single Non-Union Female Graduated Ravenclaw
1377 24 Muggle-Born 265 Senior Single Non-Union Male Graduated Gryffindor
1378 43 Muggle-Born 903.84 Senior Single Union Female Graduated Gryffindor
1379 25 Muggle-Born 350 Senior Single Non-Union Female Graduated Gryffindor
1380 33 Pureblood 692.3 Senior Married Non-Union Male Graduated Ravenclaw
1381 31 Pureblood 607.5 Senior Married Non-Union Female Graduated Ravenclaw
1382 27 Pureblood 560 Senior Single Non-Union Male Drop-Out Ravenclaw
1383 51 Pureblood 1095.19 Senior Single Non-Union Male Drop-Out Ravenclaw
1384 39 Pureblood 1153.84 Senior Married Non-Union Male Graduated Ravenclaw
1385 38 Pureblood 600 Senior Married Non-Union Male Graduated Ravenclaw
1386 31 Pureblood 484.61 Senior Married Non-Union Female Graduated Ravenclaw
1387 27 Pureblood 1923.07 Senior Married Non-Union Male Graduated Hufflepuff
1388 31 Pureblood 1250 Junior Married Non-Union Male Graduated Hufflepuff
1389 30 Pureblood 1057.69 Senior Married Non-Union Female Graduated Hufflepuff
1390 54 Pureblood 1519 Senior Married Non-Union Male Graduated Hufflepuff
1391 31 Pureblood 880 Senior Married Non-Union Male Graduated Hufflepuff
1392 32 Pureblood 500 Senior Married Non-Union Female Graduated Hufflepuff
1393 25 Pureblood 2307.69 Junior Single Non-Union Male Graduated Hufflepuff
1394 26 Pureblood 1250 Junior Single Non-Union Female Graduated Hufflepuff
1395 23 Pureblood 115.38 Senior Single Non-Union Male Drop-Out Hufflepuff
1396 34 Pureblood 560 Senior Married Non-Union Male Drop-Out Hufflepuff
1397 29 Pureblood 680 Senior Married Non-Union Female Graduated Hufflepuff
1398 45 Pureblood 224 Senior Single Non-Union Female Drop-Out Hufflepuff
1399 47 Pureblood 788.46 Senior Married Non-Union Female Drop-Out Hufflepuff
1400 23 Pureblood 576.92 Senior Single Non-Union Male Graduated Hufflepuff
1401 42 Pureblood 961.53 Senior Single Non-Union Female Drop-Out Hufflepuff
1402 63 Pureblood 1057 Senior Married Non-Union Male Graduated Hufflepuff
1403 50 Pureblood 961 Senior Married Non-Union Female Graduated Hufflepuff
1404 32 Pureblood 187.5 Senior Married Non-Union Female Graduated Hufflepuff
1405 44 Pureblood 2884.61 Senior Married Non-Union Male Graduated Hufflepuff
1406 52 Pureblood 931 Senior Married Non-Union Male Graduated Hufflepuff
1407 50 Pureblood 817.38 Senior Married Non-Union Female Graduated Hufflepuff
1408 47 Pureblood 961.53 Senior Married Non-Union Female Drop-Out Hufflepuff
1409 25 Pureblood 585.2 Senior Married Non-Union Male Graduated Hufflepuff
1410 60 Pureblood 748.4 Senior Single Union Female Graduated Hufflepuff
1411 49 Pureblood 1415 Senior Married Union Male Graduated Hufflepuff
1412 54 Halfblood 770 Senior Single Union Female Drop-Out Hufflepuff
1413 49 Pureblood 1000 Senior Married Non-Union Male Drop-Out Hufflepuff
1414 38 Pureblood 1153.84 Senior Married Non-Union Male Graduated Hufflepuff
1415 33 Pureblood 211.6 Senior Married Non-Union Female Graduated Hufflepuff
1416 34 Pureblood 822.15 Senior Married Union Male Graduated Hufflepuff
1417 34 Pureblood 550 Senior Married Non-Union Female Graduated Hufflepuff
1418 44 Pureblood 288.46 Senior Married Non-Union Female Drop-Out Hufflepuff
1419 43 Pureblood 506.8 Senior Single Non-Union Female Graduated Hufflepuff
1420 60 Halfblood 1192 Senior Married Non-Union Male Graduated Hufflepuff
1421 59 Pureblood 923 Senior Married Non-Union Female Graduated Hufflepuff
1422 51 Halfblood 580 Senior Single Non-Union Male Graduated Hufflepuff
1423 19 Halfblood 185 Senior Single Non-Union Male Graduated Gryffindor
1424 44 Halfblood 75 Senior Single Non-Union Female Graduated Gryffindor
1425 30 Pureblood 1153.84 Senior Single Non-Union Female Graduated Ravenclaw
1426 52 Pureblood 1418 Senior Married Non-Union Female Graduated Hufflepuff
1427 23 Pureblood 200 Senior Single Non-Union Female Graduated Hufflepuff
1428 60 Pureblood 350 Senior Single Non-Union Female Drop-Out Hufflepuff
1429 38 Pureblood 817 Senior Married Non-Union Female Graduated Hufflepuff
1430 38 Pureblood 1300 Senior Married Non-Union Male Graduated Hufflepuff
1431 44 Pureblood 557.84 Senior Married Non-Union Female Graduated Hufflepuff
1432 57 Pureblood 1480 Senior Married Non-Union Female Graduated Hufflepuff
1433 45 Halfblood 576.92 Senior Married Non-Union Male Graduated Slytherin
1434 28 Pureblood 1346.15 Senior Single Non-Union Female Graduated Slytherin
1435 37 Pureblood 2557.69 Senior Married Non-Union Male Graduated Slytherin
1436 34 Pureblood 1653.84 Senior Married Non-Union Female Graduated Slytherin
1437 47 Pureblood 538.46 Senior Single Non-Union Male Drop-Out Hufflepuff
1438 43 Pureblood 228.25 Senior Single Non-Union Female Graduated Slytherin
1439 44 Muggle-Born 900 Senior Married Union Male Drop-Out Hufflepuff
1440 43 Pureblood 882 Senior Married Non-Union Female Graduated Hufflepuff
1441 57 Pureblood 961.53 Senior Single Non-Union Male Graduated Hufflepuff
1442 54 Pureblood 160 Junior Single Non-Union Female Graduated Hufflepuff
1443 57 Pureblood 720 Senior Married Non-Union Male Graduated Hufflepuff
1444 58 Pureblood 126 Junior Married Non-Union Female Drop-Out Hufflepuff
1445 53 Pureblood 908.4 Senior Single Non-Union Male Graduated Hufflepuff
1446 46 Pureblood 484 Senior Single Non-Union Male Drop-Out Hufflepuff
1447 51 Pureblood 817.3 Senior Married Non-Union Female Graduated Hufflepuff
1448 54 Pureblood 830.4 Senior Married Non-Union Male Graduated Hufflepuff
1449 39 Pureblood 740 Senior Single Non-Union Female Graduated Hufflepuff
1450 25 Pureblood 480 Senior Married Non-Union Male Drop-Out Hufflepuff
1451 28 Pureblood 138.46 Senior Married Non-Union Female Drop-Out Hufflepuff
1452 46 Pureblood 1826 Senior Married Non-Union Male Graduated Hufflepuff
1453 26 Pureblood 570 Senior Single Non-Union Male Drop-Out Slytherin
1454 59 Pureblood 1153.84 Senior Married Non-Union Male Graduated Slytherin
1455 58 Pureblood 711.53 Senior Married Non-Union Female Graduated Slytherin
1456 26 Pureblood 200 Senior Single Non-Union Female Drop-Out Slytherin
1457 22 Pureblood 270 Senior Single Non-Union Female Graduated Slytherin
1458 30 Pureblood 634.61 Senior Single Non-Union Female Graduated Slytherin
1459 53 Halfblood 576 Senior Married Non-Union Male Drop-Out Slytherin
1460 40 Pureblood 560 Senior Single Non-Union Female Graduated Hufflepuff
1461 25 Halfblood 200 Senior Single Non-Union Female Graduated Slytherin
1462 48 Pureblood 900 Senior Married Non-Union Male Graduated Slytherin
1463 40 Pureblood 880 Senior Married Non-Union Male Graduated Slytherin
1464 44 Pureblood 2884.61 Senior Married Non-Union Male Graduated Slytherin
1465 61 Pureblood 420 Senior Married Non-Union Female Drop-Out Gryffindor
1466 53 Muggle-Born 961.53 Senior Married Union Male Graduated Gryffindor
1467 50 Muggle-Born 669 Senior Married Non-Union Female Graduated Gryffindor
1468 51 Pureblood 530 Senior Single Non-Union Female Graduated Gryffindor
1469 56 Pureblood 460 Senior Married Non-Union Female Graduated Gryffindor
1470 49 Pureblood 70 Junior Single Non-Union Male Drop-Out Gryffindor
1471 27 Pureblood 320 Senior Single Non-Union Male Drop-Out Gryffindor
1472 24 Pureblood 680 Senior Single Non-Union Female Graduated Gryffindor
1473 51 Pureblood 1259.61 Senior Married Non-Union Male Drop-Out Ravenclaw
1474 48 Pureblood 763.6 Senior Married Non-Union Female Drop-Out Ravenclaw
1475 30 Pureblood 335 Senior Married Non-Union Male Drop-Out Gryffindor
1476 29 Pureblood 1384 Senior Married Non-Union Female Graduated Gryffindor
1477 49 Pureblood 826.92 Senior Single Non-Union Female Drop-Out Slytherin
1478 59 Pureblood 2076.92 Senior Married Non-Union Male Graduated Slytherin
1479 57 Pureblood 653.84 Junior Married Non-Union Female Drop-Out Slytherin
1480 31 Pureblood 673.07 Junior Single Non-Union Female Drop-Out Slytherin
1481 44 Pureblood 1350 Senior Married Non-Union Male Drop-Out Slytherin
1482 34 Halfblood 576.92 Senior Married Non-Union Male Drop-Out Slytherin
1483 38 Pureblood 1730.76 Senior Married Non-Union Male Graduated Slytherin
1484 33 Halfblood 1275 Senior Single Non-Union Male Graduated Slytherin
1485 60 Pureblood 1826 Senior Single Non-Union Female Graduated Slytherin
1486 50 Pureblood 750 Senior Single Non-Union Female Graduated Slytherin
1487 51 Pureblood 2375 Senior Single Non-Union Male Graduated Slytherin
1488 34 Pureblood 1923.07 Senior Single Non-Union Male Graduated Slytherin
1489 37 Pureblood 1250 Senior Married Non-Union Female Graduated Gryffindor
1490 42 Pureblood 1884.61 Senior Married Non-Union Male Graduated Gryffindor
1491 59 Pureblood 576 Senior Married Non-Union Male Graduated Gryffindor
1492 26 Pureblood 599.55 Senior Single Non-Union Female Graduated Gryffindor
1493 57 Pureblood 420 Senior Married Non-Union Female Graduated Gryffindor
1494 55 Pureblood 600 Senior Married Non-Union Female Graduated Gryffindor
1495 33 Pureblood 750 Senior Married Union Male Graduated Gryffindor
1496 34 Pureblood 1346 Senior Married Union Female Graduated Gryffindor
1497 63 Pureblood 1538.46 Junior Married Non-Union Male Graduated Gryffindor
1498 24 Pureblood 651.2 Senior Single Union Male Drop-Out Ravenclaw
1499 48 Pureblood 962.4 Senior Married Union Female Graduated Hufflepuff
1500 34 Pureblood 420 Senior Married Non-Union Female Drop-Out Hufflepuff
1501 27 Pureblood 2884.61 Junior Single Non-Union Female Drop-Out Hufflepuff
1502 56 Pureblood 360 Senior Single Non-Union Female Drop-Out Hufflepuff
1503 45 Pureblood 730 Senior Single Non-Union Female Graduated Hufflepuff
1504 35 Pureblood 1088.46 Senior Single Non-Union Male Drop-Out Hufflepuff
1505 34 Pureblood 1461.53 Senior Married Non-Union Male Graduated Hufflepuff
1506 50 Pureblood 1730.76 Senior Married Union Male Graduated Hufflepuff
1507 22 Muggle-Born 100 Senior Single Non-Union Male Graduated Hufflepuff
1508 48 Muggle-Born 400 Senior Married Non-Union Female Graduated Hufflepuff
1509 50 Halfblood 1600 Senior Married Non-Union Male Graduated Hufflepuff
1510 48 Halfblood 760 Junior Married Non-Union Female Graduated Hufflepuff
1511 30 Pureblood 769.23 Senior Single Non-Union Male Graduated Hufflepuff
1512 46 Pureblood 673.07 Senior Married Non-Union Male Graduated Hufflepuff
1513 49 Pureblood 480.76 Senior Married Non-Union Female Graduated Hufflepuff
1514 37 Pureblood 517.5 Senior Married Non-Union Male Graduated Hufflepuff
1515 32 Pureblood 287.5 Senior Married Non-Union Female Graduated Hufflepuff
1516 51 Pureblood 348 Junior Married Non-Union Female Drop-Out Hufflepuff
1517 53 Pureblood 581.4 Senior Married Union Female Drop-Out Hufflepuff
1518 25 Pureblood 673.07 Junior Married Non-Union Female Graduated Hufflepuff
1519 34 Pureblood 420 Senior Single Non-Union Male Graduated Hufflepuff
1520 33 Pureblood 545.3 Senior Single Non-Union Male Graduated Hufflepuff
1521 53 Muggle-Born 720 Senior Married Union Male Graduated Hufflepuff
1522 54 Pureblood 930 Senior Married Union Female Graduated Hufflepuff
1523 36 Pureblood 711.53 Senior Married Non-Union Male Graduated Hufflepuff
1524 35 Pureblood 769.23 Senior Married Non-Union Female Graduated Hufflepuff
1525 43 Pureblood 2307.69 Senior Married Non-Union Male Graduated Hufflepuff
1526 44 Pureblood 1730.76 Junior Married Non-Union Female Graduated Hufflepuff
1527 59 Pureblood 2884.61 Senior Married Non-Union Male Graduated Hufflepuff
1528 22 Pureblood 200 Junior Single Non-Union Female Graduated Hufflepuff
1529 22 Pureblood 465.5 Senior Single Non-Union Female Graduated Hufflepuff
1530 25 Pureblood 75 Senior Single Non-Union Male Graduated Hufflepuff
1531 25 Pureblood 285 Senior Married Non-Union Male Graduated Hufflepuff
1532 25 Pureblood 944 Senior Married Union Female Graduated Hufflepuff
1533 57 Pureblood 243 Senior Married Non-Union Female Drop-Out Slytherin
1534 38 Halfblood 458 Senior Single Union Female Drop-Out Slytherin
1535 55 Muggle-Born 865.38 Senior Married Non-Union Female Graduated Slytherin
1536 45 Halfblood 961.53 Senior Married Non-Union Male Graduated Hufflepuff
1537 41 Halfblood 692.3 Senior Married Non-Union Female Graduated Hufflepuff
1538 53 Pureblood 400 Senior Married Non-Union Female Graduated Hufflepuff
1539 39 Pureblood 400 Senior Single Non-Union Male Drop-Out Hufflepuff
1540 32 Pureblood 375 Senior Single Non-Union Female Graduated Hufflepuff
1541 59 Pureblood 150 Senior Single Non-Union Female Graduated Hufflepuff
1542 41 Pureblood 1340 Senior Married Non-Union Male Graduated Hufflepuff
1543 21 Pureblood 237.5 Senior Single Non-Union Female Graduated Hufflepuff
1544 38 Pureblood 384 Senior Married Non-Union Female Drop-Out Hufflepuff
1545 54 Pureblood 400 Senior Married Non-Union Male Drop-Out Hufflepuff
1546 44 Pureblood 400 Senior Married Non-Union Female Drop-Out Hufflepuff
1547 37 Pureblood 595.84 Senior Single Non-Union Female Graduated Hufflepuff
1548 55 Muggle-Born 437.6 Senior Married Non-Union Male Graduated Hufflepuff
1549 27 Pureblood 530 Senior Single Non-Union Male Graduated Hufflepuff
1550 53 Pureblood 1440 Senior Married Non-Union Male Graduated Ravenclaw
1551 54 Pureblood 346.15 Senior Married Non-Union Female Graduated Ravenclaw
1552 28 Pureblood 961 Senior Married Non-Union Male Graduated Ravenclaw
1553 28 Pureblood 780 Junior Married Non-Union Female Graduated Ravenclaw
1554 46 Pureblood 1200 Senior Single Union Male Graduated Ravenclaw
1555 41 Pureblood 1538.46 Senior Married Union Male Graduated Slytherin
1556 39 Pureblood 288.46 Senior Married Non-Union Female Graduated Slytherin
1557 58 Pureblood 262.5 Senior Single Non-Union Female Drop-Out Gryffindor
1558 38 Pureblood 162 Senior Single Non-Union Female Drop-Out Hufflepuff
1559 56 Pureblood 2240 Senior Married Union Male Graduated Ravenclaw
1560 56 Pureblood 692.3 Senior Married Non-Union Female Graduated Ravenclaw
1561 20 Pureblood 286.75 Senior Single Non-Union Male Drop-Out Slytherin
1562 43 Pureblood 128 Senior Single Non-Union Female Drop-Out Slytherin
1563 51 Pureblood 923.07 Senior Married Non-Union Male Drop-Out Hufflepuff
1564 45 Pureblood 651 Senior Married Non-Union Male Graduated Gryffindor
1565 44 Pureblood 50 Senior Married Non-Union Female Drop-Out Gryffindor
1566 59 Halfblood 150 Senior Single Non-Union Female Graduated Ravenclaw
1567 45 Pureblood 1500 Senior Married Non-Union Male Graduated Ravenclaw
1568 49 Muggle-Born 360.1 Senior Single Union Female Drop-Out Ravenclaw
1569 39 Pureblood 538.46 Junior Married Union Male Graduated Gryffindor
1570 35 Pureblood 519.23 Junior Married Non-Union Female Graduated Gryffindor
1571 60 Pureblood 340 Junior Single Non-Union Female Graduated Slytherin
1572 40 Pureblood 2884.61 Senior Married Non-Union Male Graduated Gryffindor
1573 40 Pureblood 576.92 Senior Married Union Female Graduated Gryffindor
1574 57 Pureblood 464 Senior Married Non-Union Female Drop-Out Hufflepuff
1575 40 Muggle-Born 1016.78 Senior Married Non-Union Male Graduated Hufflepuff
1576 29 Muggle-Born 177.76 Junior Married Non-Union Female Graduated Hufflepuff
1577 57 Pureblood 1000 Senior Single Union Male Drop-Out Gryffindor
1578 60 Pureblood 807.69 Senior Married Non-Union Male Graduated Slytherin
1579 54 Pureblood 807.69 Senior Married Non-Union Female Drop-Out Slytherin
1580 56 Pureblood 800 Senior Married Non-Union Male Drop-Out Gryffindor
1581 30 Pureblood 507.69 Senior Single Non-Union Male Graduated Ravenclaw
1582 54 Pureblood 576.92 Senior Single Non-Union Female Graduated Ravenclaw
1583 29 Muggle-Born 294 Senior Married Non-Union Female Graduated Slytherin
1584 56 Pureblood 1538.46 Senior Married Non-Union Male Graduated Slytherin
1585 50 Pureblood 700 Senior Married Union Male Graduated Gryffindor
1586 51 Pureblood 666 Senior Married Non-Union Female Graduated Gryffindor
